City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Tezu,IN,27.9167,96.1667,70.52,54,0,3.36,clear sky
181,Ushibuka,JP,32.1906,130.0228,72.37,62,98,5.64,overcast clouds
182,Matviyivka,UA,47.0747,35.1444,40.24,68,70,5.37,broken clouds
183,Mahebourg,MU,-20.4081,57.7,73.69,83,40,6.91,scattered clouds
184,Mao,ES,39.8885,4.2658,72.16,94,20,9.22,few clouds
185,Rocha,UY,-34.4833,-54.3333,55.27,98,53,5.03,broken clouds
186,Coalville,GB,52.7167,-1.3667,56.79,93,20,16.11,few clouds
187,Vila Velha,BR,-20.3297,-40.2925,75.94,84,27,11.99,scattered clouds
188,Klaksvik,FO,62.2266,-6.589,41.92,76,97,19.57,overcast clouds
189,Nicoya,CR,10.1483,-85.452,74.46,93,100,1.43,overcast clouds
190,Westport,US,41.1415,-73.3579,58.82,74,0,10.0,clear sky
191,North Bend,US,43.4065,-124.2243,57.92,99,100,14.97,mist
192,Dingle,PH,10.9995,122.6711,84.27,78,100,7.07,overcast clouds
193,Tuatapere,NZ,-46.1333,167.6833,60.04,47,28,2.04,scattered clouds
194,Northam,GB,51.0333,-4.2167,55.62,90,27,17.34,scattered clouds
195,Lasa,IT,46.6166,10.7002,56.28,99,100,5.91,overcast clouds
196,Constitucion,CL,-35.3333,-72.4167,52.05,75,28,11.14,scattered clouds
197,Yeniseysk,RU,58.4497,92.1703,32.86,94,73,6.33,broken clouds
198,Bermeo,ES,43.4209,-2.7215,70.0,62,7,17.16,clear sky
199,Karratha,AU,-20.7377,116.8463,82.11,38,1,15.12,clear sky
200,Izumo,JP,35.3667,132.7667,73.29,68,75,16.11,broken clouds
201,Palmer,US,42.1584,-72.3287,50.18,77,0,0.0,clear sky
202,Roald,NO,62.5833,6.1333,48.33,81,100,4.61,overcast clouds
203,Ostrovnoy,RU,68.0531,39.5131,29.82,87,100,10.8,overcast clouds
204,Bengkulu,ID,-3.8004,102.2655,77.88,87,100,5.32,overcast clouds
205,Pokaran,IN,26.9167,71.9167,75.2,33,0,7.99,clear sky
206,Faya,SA,18.3851,42.4509,55.92,55,0,2.33,clear sky
207,Hays,US,30.0502,-98.0336,76.06,47,0,3.0,clear sky
