City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Pedreiras,BR,76.82,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
536,West Bay,KY,80.08,scattered clouds,19.3667,-81.4167,Calypso Cove
537,Kinshasa,CD,75.58,light rain,-4.3246,15.3215,Star Hotel II
545,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
546,Beneditinos,BR,84.99,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
554,Ugoofaaru,MV,80.22,overcast clouds,5.6667,73.0,Ungoofaaru Inn
557,Manokwari,ID,82.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
559,Chaozhou,CN,75.06,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
562,Iracoubo,GF,79.84,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
564,Hoa Binh,VN,78.6,few clouds,20.8133,105.3383,Hoa Dao Hotel
568,Buluang,PH,86.99,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
569,Sur,OM,76.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
570,Metro,ID,79.07,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
577,La Primavera,CO,81.03,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
579,Sahuaripa,MX,76.95,few clouds,29.05,-109.2333,Estatua de Sahuaripa
584,Pangkalanbuun,ID,81.23,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
585,Riohacha,CO,79.2,broken clouds,11.5444,-72.9072,Hotel Taroa
588,Lao Cai,VN,79.2,overcast clouds,22.4833,103.95,Legend Hotel
589,Bom Jesus,BR,79.68,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
593,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
594,Thinadhoo,MV,81.88,broken clouds,0.5333,72.9333,
602,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
606,Poso,ID,87.37,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
610,Tabat,ID,76.55,overcast clouds,-2.635,115.2274,
611,Angoram,PG,75.6,overcast clouds,-4.0625,144.0661,
